ticker,candle_index,score,ret_1,ret_2,ret_3,ret_6,ret_10
ABBV,1321,67,-0.482,-1.065,-0.617,-0.861,-0.866
ABBV,1327,32,1.791,1.621,1.831,0.13,0.904
ABBV,1340,58,0.877,-0.066,0.123,1.466,1.322
ABBV,1373,78,0.842,-2.013,-3.032,-5.23,-4.949
ABBV,1389,73,-1.908,-2.402,-2.325,-3.411,-2.433
ABBV,1400,94,-0.028,0.934,0.703,1.568,2.063
ABBV,1518,73,0.617,0.431,-0.207,3.535,-0.174
ABBV,1534,74,0.339,0.685,0.694,-3.534,-2.268
ABBV,1543,80,-1.978,-0.903,-0.606,-0.932,-2.472
ABBV,1564,97,-0.098,3.925,3.426,1.586,0.215
ABBV,1582,54,-0.659,-1.201,-0.377,0.158,2.713
ABNB,42,75,-0.791,-2.54,-2.027,-5.32,-4.936
ABNB,63,74,-2.032,-2.9,-5.662,-6.53,-3.097
ABNB,71,77,0.017,1.129,0.881,-1.24,0.624
ABNB,94,69,0.474,0.593,0.881,7.248,6.85
ABNB,200,76,-0.239,1.444,1.309,4.372,4.103
ABNB,228,60,0.423,2.146,2.123,3.619,3.758
ABNB,378,64,1.153,-2.0,-2.496,-4.532,-0.716
ABNB,388,74,-1.362,-3.69,-4.491,-1.46,-0.149
ABNB,394,75,0.619,0.988,1.851,3.085,0.006
ABNB,412,54,0.226,0.022,-1.138,-9.169,-8.983
ABNB,432,76,0.343,-0.754,-1.22,-1.892,0.569
ABNB,440,85,-0.643,0.894,1.121,0.42,-0.131
ABNB,470,65,0.857,0.472,-0.648,-0.243,1.606
ABNB,516,67,-0.999,-0.952,-4.078,-6.752,-6.605
ABNB,548,79,-0.175,-0.543,0.8,-0.492,0.398
ABNB,699,91,0.428,0.73,-0.626,3.149,3.709
ABNB,761,88,1.403,0.404,-0.251,0.494,1.257
ABNB,784,59,1.753,1.424,1.401,-0.146,-2.193
ABNB,806,73,0.326,-0.273,0.144,2.264,0.727
ABNB,832,58,-0.27,-0.496,-0.608,0.056,-2.215
ABNB,850,64,-0.249,0.144,2.742,1.182,1.904
ABNB,903,74,-0.955,0.269,0.827,-4.667,-6.414
ABNB,924,86,-1.796,-1.883,-1.016,-0.638,2.229
ABNB,958,95,-8.802,-6.124,-7.109,-6.684,-7.162
ABNB,1065,65,0.583,-1.035,-1.099,0.863,2.392
ABNB,1129,86,0.51,0.08,1.036,0.755,0.337
ABNB,1177,81,0.909,1.802,2.808,1.802,-0.114
ABNB,1209,72,-2.289,-1.64,-0.617,2.288,2.271
ABNB,1214,74,-0.735,-0.081,0.372,1.615,3.844
ABNB,1260,73,0.294,0.135,-1.005,-0.311,-0.242
ABNB,1287,72,0.122,0.105,2.87,2.73,2.599
ABNB,1400,88,-0.217,1.09,0.0,-1.09,-0.385
ABNB,1438,91,-0.623,-0.657,-2.21,-3.278,-0.211
ABNB,1447,100,0.191,0.63,4.776,3.457,3.909
ABNB,1506,57,-1.495,-2.734,-1.75,-0.959,-1.172
ABNB,1512,63,0.574,-0.746,-1.406,-0.071,-5.243
ABNB,1531,77,-1.372,-1.482,5.172,1.821,2.736
ABNB,1597,89,-1.352,-1.437,-0.566,-1.609,-0.737
ABNB,1628,62,-0.144,0.517,1.488,2.741,0.187
ABNB,1685,67,2.812,4.235,4.978,3.541,2.547
ABT,54,97,0.706,-0.126,0.484,1.358,-1.601
ABT,73,76,0.772,0.508,0.719,1.386,0.529
ABT,96,54,-0.198,1.662,1.673,2.355,4.502
ABT,249,54,-0.767,0.044,0.009,-0.273,-0.546
ABT,286,60,0.701,0.789,2.005,3.158,4.178
ABT,358,94,0.38,0.142,0.54,-0.982,-1.654
ABT,394,75,-0.315,-1.195,-0.964,-0.398,-1.446
ABT,422,74,-0.019,-1.202,-0.744,0.081,-1.379
ABT,426,73,0.019,0.292,0.268,-1.171,-0.105
ABT,436,76,0.345,0.325,-0.211,-2.298,-2.278
ABT,450,78,0.18,0.375,0.676,1.806,4.969
ABT,501,62,-0.163,0.019,-0.067,-1.102,-2.799
ABT,516,65,0.366,0.198,2.415,2.179,1.022
ABT,616,63,-0.282,0.062,-0.493,-0.845,0.907
ABT,623,73,0.155,0.923,1.25,2.324,3.402
ABT,661,76,-0.462,-0.999,-1.016,-1.251,-1.989
ABT,694,59,-0.018,-0.478,-0.567,-1.547,-0.129
ABT,738,70,-0.491,-0.844,-1.37,-1.917,-2.334
ABT,755,77,-0.749,-1.687,-1.221,0.36,-0.07
ABT,759,90,-0.111,1.479,1.266,1.044,2.625
ABT,785,60,-0.158,-0.272,-0.68,-0.5,0.219
ABT,790,72,-0.395,-0.413,-0.272,-0.957,-0.856
ABT,809,79,0.521,0.318,0.336,2.586,3.954
ABT,933,73,-0.208,-1.126,-1.471,2.405,3.546
ABT,962,85,0.323,0.859,-0.709,2.215,2.372
ABT,1100,73,0.44,0.6,1.239,1.731,2.654
ABT,1234,79,-0.534,-1.528,-2.184,-2.6,-2.679
ABT,1245,75,-0.27,0.08,-1.36,-1.328,0.286
ABT,1288,63,-1.022,-0.352,-0.407,-0.142,0.286
ABT,1322,76,-0.097,-0.162,0.745,4.061,3.012
ABT,1358,64,-0.179,-0.445,-0.486,-1.531,0.341
ABT,1367,61,0.071,1.393,1.397,0.415,-0.158
ABT,1416,75,0.019,-0.061,-0.019,3.173,2.541
ABT,1504,75,-0.606,-2.473,-2.626,-4.641,-7.114
ABT,1520,85,-0.976,-2.148,-2.953,-1.691,-2.577
ABT,1527,81,0.42,0.479,-0.098,-0.547,0.313
ABT,1542,86,-0.433,-0.133,0.005,-4.655,-7.729
ABT,1561,95,1.018,1.088,-0.447,-2.353,-5.682
ABT,1577,78,-1.885,-3.126,-5.058,-3.04,-2.442
ABT,1584,78,-0.179,1.072,1.102,3.43,4.811
ABT,1608,62,0.097,-1.688,-0.799,2.778,2.972
ACGL,112,60,2.427,2.249,1.965,1.728,3.19
ACGL,151,74,-0.436,-0.89,-0.156,-0.834,-7.066
ACGL,170,78,0.268,-0.703,-1.052,-1.072,-1.085
ACGL,390,57,0.633,1.76,1.64,1.142,-0.753
ACGL,472,59,-0.258,0.831,1.385,1.474,-1.227
ACGL,509,70,-0.519,0.315,-0.112,-1.881,-1.688
ACGL,519,71,-0.341,-0.383,-2.306,0.61,-1.22
ACGL,523,35,-0.151,0.251,0.014,-1.573,0.323
ACGL,629,57,0.246,0.686,0.651,-2.631,-5.02
ACGL,669,91,0.676,1.169,-0.164,1.766,-0.234
ACGL,703,81,0.051,0.432,1.015,0.442,1.96
ACGL,748,74,-1.787,-1.938,-2.237,-3.115,-4.265
ACGL,761,82,0.419,0.243,0.739,1.621,2.447
ACGL,790,77,-1.302,-0.828,-0.742,-2.569,-2.397
ACGL,804,67,1.669,1.739,1.772,4.479,3.707
ACGL,851,64,0.176,0.016,-0.347,-2.235,-4.37
ACGL,874,72,-0.089,-0.022,-0.754,0.435,1.274
ACGL,922,68,1.742,2.939,1.361,0.692,-0.562
ACGL,962,88,1.226,0.738,0.575,0.217,-2.593
ACGL,984,64,-3.233,-1.895,-2.155,0.13,0.736
ACGL,990,63,0.303,0.13,0.595,0.238,2.239
ACGL,1057,74,0.975,0.953,0.831,-0.333,0.411
ACGL,1076,69,-0.199,-1.919,-2.798,-2.986,-2.162
ACGL,1084,88,-0.674,-3.004,-3.306,-3.333,-3.185
ACGL,1096,62,0.186,-0.355,-0.208,-0.017,-2.685
ACGL,1113,85,0.352,0.601,0.869,1.99,0.932
ACGL,1186,72,1.216,-0.898,-0.112,-0.022,0.859
ACGL,1238,80,-0.081,-0.092,-0.496,-0.807,1.696
ACGL,1319,55,-0.473,-1.323,0.882,0.978,2.565
ACGL,1375,57,0.313,0.511,-0.115,-1.022,-5.362
ACGL,1397,93,0.186,-0.949,0.513,0.349,1.462
ACGL,1512,81,0.289,0.921,0.214,-0.15,2.473
ACGL,1576,76,-0.148,-0.658,-0.898,-0.169,-0.872
ACGL,1581,50,0.714,0.533,-1.087,-0.384,2.185
ACGL,1586,80,-0.389,0.464,0.101,3.357,3.149
