rsi,vol,depth,mom,trend,ex_3,ex_6,ex_10
53.1377,0.7190,0.1526,1.0000,0.2763,0.07708714417439357,-1.8085556309471673,-2.789323150334277
45.1357,0.6121,1.8902,1.0000,-4.2430,4.761484251721172,3.29811003110429,5.2599572080779815
47.9972,0.5865,1.0417,1.0000,-2.1230,-3.6312682497319773,-4.444254669873265,-3.1407850916274622
40.7870,0.6373,1.1734,1.0000,-3.8344,-1.1409532148220147,-0.5063527799524514,-2.3259168119255986
44.2050,0.9066,1.1768,1.0000,-3.6186,-0.43245855329148053,-2.0135612119289883,-0.278047579483009
42.0723,0.6577,0.9966,0.5620,-3.6501,1.3137669541211217,2.0523154894323383,1.6890139029411726
56.9319,0.9977,0.1060,1.0000,0.9758,-0.06543559738113501,0.7035775184578597,-1.147404765242332
55.1456,0.8065,0.1979,1.0000,0.9042,1.1521121077010432,1.0963331197432813,0.8286511266323631
54.1466,0.6875,0.2049,1.0000,-0.0598,-1.561747726564987,-3.3943029170786234,-6.050172366041095
50.6751,1.5488,1.8607,1.0000,-2.6333,-1.1841060624347188,-0.9414889326221976,-0.7339404312338034
31.4891,1.2725,2.9550,1.0000,-7.7734,-0.3662281295932147,0.002872855448482481,-2.5327523577912787
40.8225,1.3826,1.5122,1.0000,-3.0229,4.539043508647213,3.031268757788669,4.906635752183986
50.6277,0.4946,0.4440,1.0000,-0.3885,-0.09434768258864588,2.917376333208116,0.2753575917284428
37.0451,0.9234,2.0542,1.0000,-5.7974,-1.6963655447473014,4.631908708042593,5.831331536072504
42.7384,0.9304,1.6782,1.0000,-3.4283,2.62529215159203,3.9344501606918882,3.344571099852767
41.2759,0.5636,1.0010,1.0000,-2.9152,0.5256411081544187,0.5293141788140499,0.3337353458173658
56.0106,0.6690,0.3276,1.0000,-0.5042,0.35376868320461485,0.7722930930639194,0.5118120046161083
28.0326,0.9948,2.1734,1.0000,-6.2145,0.7217397001052183,-0.15438651775268597,-0.7128683142624044
41.1828,1.4592,2.3249,1.0000,-5.1990,-0.2425439667920405,0.23319180611244827,-5.530615098277957
43.6592,1.4694,2.0262,1.0000,-5.1113,0.9767411929565105,-0.8799277517022974,-0.07028659210347404
44.6180,1.1389,4.0781,1.0000,-8.7029,-1.6594016396200384,-1.8811890331999648,-1.1417295019594982
57.5460,1.1789,0.7724,1.0000,1.7821,0.051026752435591086,0.03725132468681003,-1.1332866921545666
42.0616,0.8784,0.8447,1.0000,-2.5731,4.8403886682904975,4.009946675515325,3.3200974625886674
60.9969,1.2420,0.1886,1.0000,1.6898,2.167839970814945,7.075224605697134,3.865382694435005
37.3850,0.7333,1.3676,1.0000,-3.6540,-2.2117585686804433,-1.7171677820653375,-2.5828708069464907
36.6534,1.4894,1.3764,1.0000,-4.7120,-1.0296394964127475,-2.900168365971906,-1.9734491301857777
38.4250,1.2753,1.4549,1.0000,-4.7543,0.06134146743300807,0.2227687282619184,-0.07841910412608127
45.5524,1.0176,0.4988,1.0000,-1.0881,3.437913031748131,7.733011925202099,7.318057038297144
38.6704,0.6844,1.3904,1.0000,-4.4926,-1.5957489133578628,-2.0820008142898914,-1.7466013180999602
44.2993,1.7299,1.3662,1.0000,-4.0570,-2.133812765996789,-1.531024698849931,-4.279143573484445
39.8419,1.7175,1.5399,1.0000,-4.4390,-0.5424125594317365,-2.97523444166285,-2.6097684521864113
40.0659,0.7240,1.5823,1.0000,-4.7780,-1.6469387875630226,0.7412806450980358,-2.236076620200444
43.6902,0.5734,1.5454,1.0000,-3.8647,-1.58275055955872,-2.1983683157561886,-2.092268951845699
42.4021,1.4688,1.2814,-0.0972,-3.9730,0.5175613424594504,1.121999759604092,-2.2501635544265537
48.0598,1.0001,1.3641,1.0000,-2.5595,-1.5472243973039357,-3.8584099271609604,-3.6287332729418194
42.5084,0.5942,1.8728,1.0000,-4.4534,-2.1729118481432876,-2.293908740884282,0.3252942152954246
55.3467,1.8514,0.7326,1.0000,1.0447,-0.022929713011287198,-1.2387250931810756,-4.427054344592184
